Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","PC",5091318,"5091318","Pc Lenovo E73 Core I7-4790S 4Gb 500Gb W7 C/Lic",0.02,"","<!--ALL NATIONS-->","",False,5,0,True,1.12,3181.59,3563.38,0,0,0,,,False,True,"5091318_1.jpg","5091318_1.jpg,5091318_2.jpg,5091318_3.jpg","5091318_1.jpg,5091318_2.jpg,5091318_3.jpg","94004","60071","48470","Lenovo","10Au00Hkbp","S - SE - CO - NE","",0,,16,"Pc lenovo E73",,0,0,,"Frames/5091318.htm","Pc lenovo E73, Core I7-4790S, 4Gb, 500Gb, W7, C/Lic,",12,12,"00889561035191",True,True,0,0,0,"","10Au00Hkbp","Pc Lenovo E73 Core I7-4790S 4Gb 500Gb W7 C/Lic","pc-lenovo-e73-core-i7-4790s-4gb-500gb-w7-c-lic","","",""
"A","PC",4536419,"4536419","Pc Lenovo E73 Sff Core I3-4130 4Gb 500Gb W8 Pro 10Au007Kbp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"","","","94004","","48470","Lenovo","10Au007Kbp","","",0,,549,"Pc Lenovo E73",,0,0,,"","",12,12,"",True,True,0,0,0,"","10Au007Kbp","Pc Lenovo E73 Sff Core I3-4130 4Gb 500Gb W8 Pro 10Au007Kbp","pc-lenovo-e73-sff-core-i3-4130-4gb-500gb-w8-pro-10au007kbp","","",""
"A","PC",5496946,"5496946","Pc Lenovo E73 Sff Core i3-4160 4Gb 500Gb W10P 10Au00KPbp",0.02,"<!--PREC--><!--Z00M-->","<!--AGIS-->","",False,100,0,True,0,2201.44,2597.7,2597.7,0,0,,,False,True,"10Au00KPbp_1.jpg","10Au00KPbp_1.jpg,10Au00KPbp_2.jpg,10Au00KPbp_3.jpg,10Au00KPbp_4.jpg","10Au00KPbp_1.jpg,10Au00KPbp_2.jpg,10Au00KPbp_3.jpg,10Au00KPbp_4.jpg","94004","60071","48470","Lenovo","10Au00KPbp","S - SE - CO - NE","",0,,16,"Pc Lenovo E73 Sff,",,0,0,,"Frames/5496946.htm","Pc, Pc lenovo, Pc Lenovo E73, Pc sff, PcI3, i3-4160, computador, computador lenovo, computador e73, computador I3,",12,12,"00888772447823",True,True,0,0,0,"","10Au00KPbp","Pc Lenovo E73 Sff i3-4160 4Gb 500Gb W10P","pc-lenovo-e73-sff-core-i3-4160-4gb-500gb-w10p-10au00kpbp","","Gabinete sff, Intel Core I3-4160 3.6ghz 3mb Cache, Memória 4gb, Disco Rígido 500gb Sata Iii 7200rpm, Sata 6.0gb/S, Dvd-Rw,*FRETE GRÁTIS",""
"A","PC",4536420,"4536420","Pc Lenovo E73 Sff Core I5-4Gb 500Gb W8 Pro 10Au002Nbp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4536420_pr.jpg","4536420_det.jpg,4536420_det2.jpg,4536420_det3.jpg","4536420_amp.jpg,4536420_amp2.jpg,4536420_amp3.jpg","94004","","48470","Lenovo","10Au002Nbp","","",0,,549,"Pc Lenovo E73",,0,0,,"Frames/4536420.htm","",12,12,"00888772178826",True,True,0,0,0,"","10Au002Nbp","Pc Lenovo E73 Sff Core I5-4Gb 500Gb W8 Pro 10Au002Nbp","pc-lenovo-e73-sff-core-i5-4gb-500gb-w8-pro-10au002nbp","","",""
"A","PC",4449966,"4449966","Pc Lenovo E73 Sff Intel Core I5-4570S 4Gb 500Gb W8 Pro",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4449966_pr.jpg","4449966_det.jpg,4449966_det2.jpg,4449966_det3.jpg","4449966_amp.jpg_4449966_amp2.jpg,4449966_amp3.jpg","94004","","48470","Lenovo","10Au000Bbp","","",0,,549,"Pc Lenovo E73",,0,0,,"Frames/4449966.htm","",12,12,"00887942389222",True,True,0,0,0,"","10Au000Bbp","Pc Lenovo E73 Sff Intel Core I5-4570S 4Gb 500Gb W8 Pro","pc-lenovo-e73-sff-intel-core-i5-4570s-4gb-500gb-w8-pro","","",""
"A","PC",3987879,"3987879","Pc Lenovo Edge 72 Core I3-2130 4Gb 500Gb Free Dos 3484Htp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"3987879_pr.jpg","3987879_det.jpg","3987879_amp.jpg","94004","","48470","Lenovo","3484Htp","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/3987879.htm","",12,12,"00887619933000",True,True,0,0,0,"","3484Htp","Pc Lenovo Edge 72 Core I3-2130 4Gb 500Gb Free Dos 3484Htp","pc-lenovo-edge-72-3484htp-core-i3-2130-4gb-500gb-dvd-free-dos-3484htp","","",""
"A","PC",3987880,"3987880","Pc Lenovo Edge 72 Core I5-3470S 2Gb 500Gb Free Dos 3484Hup",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"3987876_pr.jpg","3987876_det.jpg","3987876_amp.jpg","94004","","48470","Lenovo","3484Hup","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/3987880.htm","Pc,Lenovo,Computador,Edge 72,3484Hup,Core I5-3470S,3484Hup",12,12,"",True,True,0,0,0,"","3484Hup","Pc Lenovo Edge 72 Core I5-3470S 2Gb 500Gb Free Dos 3484Hup","pc-lenovo-edge-72-3484hup-core-i5-3470s-2gb-500gb-dvd-free-dos-3484hup","","",""
"A","PC",3987883,"3987883","Pc Lenovo Edge 72 Core I5-3470S 500Gb 4Gb W7P 64 3493Ftp",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"3987883_pr.jpg","3987883_det.jpg","3987883_amp.jpg","94004","","48470","Lenovo","3493Ftp","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/3987883.htm","",12,12,"",True,True,0,0,0,"","3493Ftp","Pc Lenovo Edge 72 Core I5-3470S 500Gb 4Gb W7P 64 3493Ftp","pc-lenovo-edge-72-3493ftp-core-i5-3470s-500gb-4gb-dvd-w7-pro-64","","",""
"A","PC",4536422,"4536422","Pc Lenovo Edge 72 Pentium G2020 4Gb 500Gb W7P 64 3484Kup",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"","","","94004","","48470","Lenovo","3484Kup","","",0,,549,"Pc Lenovo Edge",,0,0,,"","",12,12,"",True,True,0,0,0,"","3484Kup","Pc Lenovo Edge 72 Pentium G2020 4Gb 500Gb W7P 64 3484Kup","pc-lenovo-edge-72-pentium-g2020-4gb-500gb-w7-pro-64-dvd-w8-pro-3484kup","","",""
"A","PC",4449971,"4449971","Pc Lenovo Edge 72 Pentium G2030 3Ghz 500Gb W7P + W8 Pro",0,"","","",False,0,0,False,1.12,0,0,0,0,0,,,False,True,"4449971_pr.jpg","4449971_det.jpg","4449971_amp.jpg","94004","","48470","Lenovo","3484Ncp","","",0,,549,"Pc Lenovo Edge",,0,0,,"Frames/4449971.htm","",12,12,"",True,True,0,0,0,"","3484Ncp","Pc Lenovo Edge 72 Pentium G2030 3Ghz 500Gb W7P + W8 Pro","pc-lenovo-edge-72-intel-pentium-g2030-3-0-ghz-500gb-w7-pro-w-8-pro","","",""
